Email,Time,Average Closing Price,Percentage Change,Highest Closing Price,Lowest Closing Price
q,2024-12-15 23:38:39.517735,8.083,-0.22,8.626543045043945,7.539831638336182
wen@.com,2024-12-15 23:46:13.799601,8.083,-0.22,8.626543045043945,7.539831638336182
w@.com,2024-12-15 23:55:12.643295,8.083,-0.22,8.626543045043945,7.539831638336182
q,2024-12-16 00:07:07.423220,8.083,-0.22,8.626543045043945,7.539831638336182
q,2024-12-16 00:08:40.686891,8.083,-0.22,8.626543045043945,7.53983211517334
q,2024-12-16 22:33:50.856915,8.083,-0.22,8.626543045043945,7.539831638336182
q,2024-12-16 22:39:09.423801,8.083,-0.22,8.626543045043945,7.539831638336182
q,2024-12-16 22:40:51.433269,8.083,-0.22,8.626543045043945,7.539831638336182
wenqingisgay@gmail.com,2024-12-16 22:44:11.888902,2.148,1.88,2.1700000762939453,2.130000114440918
q,2024-12-18 01:11:30.865479,9.172,-0.8,9.793327331542969,8.381418228149414
q,2024-12-19 03:05:01.847394,8.083,-0.22,8.626543045043945,7.539831638336182
q,2024-12-19 03:06:40.054743,8.083,-0.22,8.626543045043945,7.539831638336182
q,2024-12-19 03:07:14.562643,8.083,-0.22,8.626543045043945,7.539831638336182
q,2024-12-19 03:07:47.754357,8.083,-0.22,8.626543045043945,7.539831638336182
q,2024-12-19 03:07:47.754357,8.083,-0.22,8.626543045043945,7.539831638336182
q,2024-12-19 03:07:47.754357,8.083,-0.22,8.626543045043945,7.539831638336182
q,2024-12-19 03:07:47.754357,8.083,-0.22,8.626543045043945,7.539831638336182
q,2024-12-19 03:07:47.754357,8.083,-0.22,8.626543045043945,7.539831638336182
q,2024-12-19 03:07:47.754357,8.083,-0.22,8.626543045043945,7.539831638336182
q,2024-12-19 03:07:47.754357,8.083,-0.22,8.626543045043945,7.539831638336182
q,2024-12-19 03:07:47.754357,8.083,-0.22,8.626543045043945,7.539831638336182
q,2024-12-19 03:07:47.754357,8.083,-0.22,8.626543045043945,7.539831638336182
q,2024-12-19 03:07:47.754357,8.083,-0.22,8.626543045043945,7.539831638336182
q,2024-12-19 03:07:47.754357,8.083,-0.22,8.626543045043945,7.539831638336182
q,2024-12-19 03:07:47.754357,8.083,-0.22,8.626543045043945,7.539831638336182
q,2024-12-19 03:07:47.754357,8.083,-0.22,8.626543045043945,7.539831638336182
q,2024-12-19 03:07:47.754357,8.083,-0.22,8.626543045043945,7.539831638336182
q,2024-12-19 03:07:47.754357,8.083,-0.22,8.626543045043945,7.539831638336182
q,2024-12-19 03:07:47.754357,8.083,-0.22,8.626543045043945,7.539831638336182
q,2024-12-19 03:07:47.754357,8.083,-0.22,8.626543045043945,7.539831638336182
q,2024-12-19 03:07:47.754357,8.083,-0.22,8.626543045043945,7.539831638336182
q,2024-12-19 03:07:47.754357,8.083,-0.22,8.626543045043945,7.539831638336182
